aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,dois,ecs,repacxns,annotation
624304,1,uHTS identification of SKN-1 Inhibitors in a fluoresence assay,"Data Source: Sanford-Burnham Center for Chemical Genomics (SBCCG)_|_Source Affiliation: Sanford-Burnham Medical Research Institute (SBMRI, San Diego, CA)_|_Network: NIH Molecular Libraries Production Centers Network (MLPCN)_|_Grant Number: 1R21NS067678-01_|_Assay Provider: Keith Choe, Ph.D., University of Florida, Fl_|__|_Assay Provider:  Keith Choe, Ph.D.,  University of Florida_|_Nematodes parasitize ~1/3 of humans world-wide. Helminth targeting drugs, or anthelmintics, have been used to control parasitic",14,Burnham Center for Chemical Genomics,SBCCG-A855-SKN1-Inh-Primary-Assay,20130315,"6,19,40,72,86,109,119,127,137,174,185,190,191,204,229,243,253,255,289,298,299,303,311,314,323,335,338,366,379,441,460,464,487,499,525,546,547,564,588,596,597,637,660,698,701,727,745,774,802,803,864,892,896,899,903,904,931,932,936,938,942,949,957,978,992,995,1001,1002,1017,1018,1030,1046,1047,1066,1088,1101,1123,1150,1174,1176,1183,1201,1233,1245,1292,1302,1309,1318,1326,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1480,1483,1486,1489,1491,1492,1493,1535,1539,1546,1570,1609,1639,1643,1646,1651,1676","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,842202,842203,842204,8",177343,NULL,NP_741406,NIH Initiatives,"19575768,19627265,20585349,7939715",0,10.1111/j.1474-9726.2009.00473.x|10.1111/j.1474-9726.2009.00501.x|10.1126/science.7939715|10.1371/journal.pone.0011194,NULL,P34707,NULL
624463,0,Beta-Arrestin HTS for Positive Allosteric Modulators of the Human D2 Dopamine Receptor: Antagonists,"There is great interest in identifying small molecule ligands for G-protein coupled receptors (GPCRs) as nearly 50% of all FDA-approved drugs target these important receptor proteins. Unfortunately, many of the ligands that are used as drugs, or as pharmacological tools, are not selective and exhibit problematic or limiting side effects due to inappropriate signaling activities. Amongst the dopamine receptors (DARs), the D2 is arguably one of the most validated drug targets in neurology and psychiatry. For ",2,National Center for Advancing Translational Sciences (NCATS),D2BAAn100,20120807,"6,19,40,72,86,109,119,127,137,174,185,190,191,204,229,243,253,255,289,298,299,303,311,314,323,335,338,366,379,441,460,464,487,499,525,546,547,564,588,597,637,660,698,701,727,745,774,802,803,864,892,896,899,903,904,931,932,936,938,942,949,957,978,992,995,1001,1002,1017,1018,1030,1046,1047,1066,1088,1101,1123,1150,1174,1176,1201,1233,1245,1292,1302,1309,1318,1326,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1483,1486,1489,1491,1492,1493,1535,1539,1546,1570,1609,1639,1643,1646,1651,1676,1678,1688,168","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842186,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,842202,8",1813,NULL,NP_000786,Governmental Organizations|NIH Initiatives,NULL,0,NULL,NULL,P14416,NULL
624464,0,Beta-Arrestin HTS for Positive Allosteric Modulators of the Human D2 Dopamine Receptor: Potentiators,"There is great interest in identifying small molecule ligands for G-protein coupled receptors (GPCRs) as nearly 50% of all FDA-approved drugs target these important receptor proteins. Unfortunately, many of the ligands that are used as drugs, or as pharmacological tools, are not selective and exhibit problematic or limiting side effects due to inappropriate signaling activities. Amongst the dopamine receptors (DARs), the D2 is arguably one of the most validated drug targets in neurology and psychiatry. For ",2,National Center for Advancing Translational Sciences (NCATS),D2BAPo100,20120807,"6,19,40,72,86,109,119,127,137,174,185,190,191,204,229,243,253,255,289,298,299,303,311,314,323,335,338,366,379,441,460,464,487,499,525,546,547,564,588,597,637,660,698,701,727,745,774,802,803,864,892,896,899,903,904,931,932,936,938,942,949,957,978,992,995,1001,1002,1017,1018,1030,1046,1047,1066,1088,1101,1123,1150,1174,1176,1201,1233,1245,1292,1302,1309,1318,1326,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1483,1486,1489,1491,1492,1493,1535,1539,1546,1570,1609,1639,1643,1646,1651,1676,1678,1688,168","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842186,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,842202,8",1813,NULL,NP_000786,Governmental Organizations|NIH Initiatives,NULL,0,NULL,NULL,P14416,NULL
624204,1,"uHTS identification of small molecule inhibitors of the catalytic domain of the SUMO protease, SENP1 in a FRET assay","Data Source: Sanford-Burnham Center for Chemical Genomics (SBCCG)_|_Source Affiliation: Sanford-Burnham Medical Research Institute (SBMRI, San Diego, CA)_|_Network: NIH Molecular Libraries Production Centers Network (MLPCN)_|_Grant Number: 1R03MH095586-01_|_Assay Provider: Jorge A. Iniguez-Lluhi, Ph.D., University of Michigan Medical School, Ann Arbor, MI_|__|_A growing body of evidence indicates that, SUMOylation plays key homeostatic roles in the androgen mediated development and function of the prostate ",14,Burnham Center for Chemical Genomics,SBCCG-A850-SENP1-Inh-Primary-Assay,20121011,"6,19,40,72,86,109,119,127,137,174,185,190,191,204,229,243,253,255,289,298,299,303,311,314,323,335,338,366,379,441,460,464,487,499,525,546,547,564,588,596,597,637,660,698,701,727,745,774,802,803,864,892,896,899,903,904,931,932,936,938,942,949,957,978,992,995,1001,1002,1017,1018,1030,1046,1047,1066,1088,1101,1123,1150,1174,1176,1183,1201,1233,1245,1292,1302,1309,1318,1326,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1480,1483,1486,1489,1491,1492,1493,1535,1539,1546,1570,1609,1639,1643,1646,1651,1676","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,842202,842203,842204,8",NULL,NULL,NP_055369,NIH Initiatives,"10913186,12511558,14663148,17932034,18616636,19116244,19763609",0,10.1007/s00424-009-0723-6|10.1073/pnas.2136933100|10.1074/jbc.m210440200|10.1074/jbc.m706978200|10.1111/j.1474-9726.2008.00411.x|10.1128/mcb.20.16.6040-6050.2000|10.1210/me.2008-0219,NULL,NP_055369,NULL
624465,0,Beta-Arrestin HTS for Positive Allosteric Modulators of the Human D2 Dopamine Receptor: Agonists,"There is great interest in identifying small molecule ligands for G-protein coupled receptors (GPCRs) as nearly 50% of all FDA-approved drugs target these important receptor proteins. Unfortunately, many of the ligands that are used as drugs, or as pharmacological tools, are not selective and exhibit problematic or limiting side effects due to inappropriate signaling activities. Amongst the dopamine receptors (DARs), the D2 is arguably one of the most validated drug targets in neurology and psychiatry. For ",2,National Center for Advancing Translational Sciences (NCATS),D2BAAg100,20120807,"6,19,40,72,86,109,119,127,137,174,185,190,191,204,229,243,253,255,289,298,299,303,311,314,323,335,338,366,379,441,460,464,487,499,525,546,547,564,588,597,637,660,698,701,727,745,774,802,803,864,892,896,899,903,904,931,932,936,938,942,949,957,978,992,995,1001,1002,1017,1018,1030,1046,1047,1066,1088,1101,1123,1150,1174,1176,1201,1233,1245,1292,1302,1309,1318,1326,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1483,1486,1489,1491,1492,1493,1535,1539,1546,1570,1609,1639,1643,1646,1651,1676,1678,1688,168","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842186,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,842202,8",1813,NULL,NP_000786,Governmental Organizations|NIH Initiatives,NULL,0,NULL,NULL,P14416,NULL
624352,1,uHTS identification of HIF-2a Inhibitors in a luminesence assay,"Data Source: Sanford-Burnham Center for Chemical Genomics (SBCCG)_|_Source Affiliation: Sanford-Burnham Medical Research Institute (SBMRI, La Jolla, CA)_|_Network: NIH Molecular Libraries Probe Production Centers Network (MLPCN)_|_Grant Number: 1 R03 DA033980-01A1_|_Assay Provider: Mei Yee Koh, Ph.D.,  University of Texas M.D. Anderson Cancer Center_|__|_Most solid tumors and their metastases experience regions of hypoxia, which promotes both tumor progression and resistance to therapy. Critical mediators o",14,Burnham Center for Chemical Genomics,SBCCG-A870-HIF-2a-Primary-Assay,20120703,"6,19,40,72,86,109,119,127,137,174,185,190,191,204,229,243,253,255,289,298,299,303,311,314,323,335,338,366,379,441,460,464,487,499,525,546,547,564,588,596,597,637,660,698,701,727,745,774,802,803,864,892,896,899,903,904,931,932,936,938,942,949,957,978,992,995,1001,1002,1017,1018,1030,1046,1047,1066,1088,1101,1123,1150,1174,1176,1183,1201,1233,1245,1292,1302,1309,1318,1326,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1480,1483,1486,1489,1491,1492,1493,1535,1539,1546,1570,1609,1639,1643,1646,1651,1676","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,842202,842203,842204,8",2034,NULL,NP_001421,NIH Initiatives,"22068265,22093255,22277691,22367913",0,10.1002/ajh.23123|10.1007/s00439-011-1109-3|10.1016/j.jdermsci.2011.10.003|10.1016/j.jvs.2011.10.111,NULL,Q99814,NULL
624168,1,uHTS identification of small molecule activators of alpha dystroglycan glycosylation,"Data Source: Sanford-Burnham Center for Chemical Genomics (SBCCG)_|_Source Affiliation: Sanford-Burnham Medical Research Institute (SBMRI, La Jolla, CA)_|_Network: NIH Molecular Libraries Probe Production Centers Network (MLPCN)_|_Grant Number: 1 R03 MH085693-01A1_|_Assay Provider: Xiaohua Wu, M.D., Ph.D., Carolinas Medical Center, Charlotte, NC_|__|_A number of muscular dystrophies (MD) are associated with abnormal O-mannosylation of alpha dystroglycan (alpha-DG) that plays a central role in linking the ex",14,Burnham Center for Chemical Genomics,SBCCG-A848-a-DG-Primary-Assay,20120522,"6,19,40,72,86,109,119,127,137,174,185,190,191,204,229,243,253,255,289,298,299,303,311,314,323,335,338,366,379,441,460,464,487,499,525,546,547,564,588,596,597,637,660,698,701,727,745,774,802,803,864,892,896,899,903,904,931,932,936,938,942,949,957,978,992,995,1001,1002,1017,1018,1030,1046,1047,1066,1088,1101,1123,1150,1174,1176,1183,1201,1233,1245,1292,1302,1309,1318,1326,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1480,1483,1486,1489,1491,1492,1493,1535,1539,1546,1570,1609,1639,1643,1646,1651,1676","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,842202,842203,842204,8",9215,NULL,CAG30396,NIH Initiatives,"15184894,15788414,17591965,19086062,19109526",0,10.1002/mus.21198|10.1038/nm1059|10.1074/jbc.m500069200|10.1152/ajpcell.00456.2008|10.2353/ajpath.2007.060927,NULL,O95461,NULL
624256,1,HTS to identify compounds that promote myeloid differentiation with MLPCN compound set,"UNMCMD Assay Overview:_|_Assay Support:  1 R03 DA032471-01   _|_Project Title:  Discovering small molecules that overcome differentiation arrest in acute myeloid leukemia  _|_PI:  David Sykes, PhD_|__|_Screening Center PI:  Larry Sklar, PhD / UNMCMD _|_Screening Center Manager: Kristine Gouveia_|_Screening Lead: Mark Haynes, PhD_|_Assay Implementation:  Mark Haynes, Stephanie Chavez_|__|_Chemistry Center PI:  Stuart Schreiber, PhD / BIPDeC_|_Chemistry Center Manager: Patti Aha_|_Chemistry Lead: Tim Lewis_|_",6,NMMLSC,UNMCMD_HOXA9_MYELOIDDIFFERENTIATION_PRIMARY_MLPCN,20120618,"6,19,40,72,86,109,119,127,137,174,185,190,191,204,229,243,253,255,289,298,299,303,311,314,323,335,338,366,379,441,460,464,487,499,525,546,547,564,588,596,597,637,660,698,701,727,745,774,802,803,864,892,896,899,903,904,931,932,936,938,942,949,957,978,992,995,1001,1002,1017,1018,1030,1046,1047,1066,1088,1101,1123,1150,1174,1176,1183,1201,1233,1245,1292,1302,1309,1318,1326,1329,1330,1340,1345,1359,1365,1367,1369,1401,1474,1480,1483,1486,1489,1491,1492,1493,1535,1539,1546,1570,1609,1639,1643,1646,1651,1676,1678","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842148,842149,842150,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,842202,842203,842204,842205,8",3205,NULL,NULL,NIH Initiatives,"11840284,14770183,16630659,18668134,19056693,8241496,8563754,8724694",0,10.1002/stem.140281|10.1016/j.leukres.2006.02.022|10.1038/leu.2008.198|10.1038/ng0296-159|10.1038/ng1305|10.1038/sj.leu.2402354|10.1182/blood-2007-09-113597,NULL,NULL,NULL
624330,2,Discovery of small molecule inhibitors of the oncogenic and cytokinetic protein MgcRacGAP -  Primary and Confirmatory Screens,"Southern Research's Specialized Biocontainment Screening Center (SRSBSC)_|_Southern Research Institute (Birmingham, Alabama)_|_NIH Molecular Libraries Probe Production Centers Network (MLPCN)_|_Assay Provider: Krister Wennerberg, FIMM & Southern Research Institute_|__|_Introduction:_|_The Ras superfamily of small G-protein comprises more than 150 proteins (Wennerberg et al., 2005) and in their function as molecular switches they regulate steps in almost all aspects of cellular signaling, including both phys",33,Southern Research Specialized Biocontainment Screening Center,MgcRacGap_PrimConf,20120703,"6,19,40,72,86,109,119,127,137,174,185,190,191,204,229,243,253,255,289,298,299,303,311,314,323,335,338,366,379,441,460,464,487,499,525,546,547,564,588,597,637,660,698,701,727,745,774,802,803,864,892,896,899,903,904,931,932,936,938,942,949,957,978,992,995,1001,1002,1017,1018,1030,1046,1047,1066,1088,1101,1123,1150,1174,1201,1233,1245,1292,1302,1309,1318,1326,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1483,1486,1489,1491,1492,1493,1535,1539,1546,1570,1609,1639,1643,1646,1651,1676,1678,1688,1689,172","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,842202,842203,842204,8",29127,Biochemical,NP_037409,NIH Initiatives,15731001,0,10.1242/jcs.01660,NULL,Q9H0H5,NULL
624466,1,Fluorescence-based cell-based primary high throughput screening assay to identify antagonists of the human trace amine associated receptor 1 (TAAR1),"Source (MLPCN Center Name): The Scripps Research Institute Molecular Screening Center (SRIMSC)_|_Affiliation: RTI International_|_Assay Provider: Brian P. Gilmour, RTI International_|_Network: Molecular Library Probe Production Centers Network (MLPCN)_|_Grant Proposal Number: 1R21NS064780-01A1_|_Grant Proposal PI: Brian P. Gilmour, RTI Internationall_|_External Assay ID: TAAR1_ANT_FLUO8_1536_1X%INH PRUN_|__|_Name: Fluorescence-based cell-based primary high throughput screening assay to identify antagonists ",5,The Scripps Research Institute Molecular Screening Center,TAAR1_ANT_FLUO8_1536_1X%INH PRUN,20120816,"6,13,19,40,72,86,109,119,127,137,174,185,190,191,204,229,243,253,255,289,298,299,300,303,311,314,323,335,338,366,379,441,460,464,487,499,525,546,547,564,588,596,597,637,660,698,727,745,774,802,803,864,892,896,899,903,904,931,932,936,938,942,949,957,978,992,995,996,1001,1002,1017,1018,1030,1046,1047,1066,1088,1101,1123,1150,1174,1183,1201,1233,1245,1292,1302,1309,1318,1326,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1480,1483,1486,1489,1491,1492,1493,1535,1539,1546,1570,1609,1639,1643,1646,1651,16","842121,842122,842123,842124,842125,842126,842127,842128,842129,842131,842134,842136,842137,842138,842139,842140,842141,842143,842145,842146,842147,842148,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842199,842200,842201,842202,842203,842204,842205,842206,842208,842209,842210,842211,8",134864,Cell-based,NP_612200,NIH Initiatives,"11109299,11459929,11504935,11723224,12550748,15329799,15644497,15718104,15764732,15936832,16263097,16831861,17629964,17959251,18370232,18382464,19892733,6141619,6518200,7218373,8115671,8363648",0,10.1002/jnr.490060106|10.1007/978-1-59745-205-2_6|10.1016/0006-2952(93)90564-d|10.1016/0278-5846(83)90067-2|10.1016/0278-5846(94)90022-1|10.1016/j.brainres.2005.09.009|10.1016/j.pharmthera.2007.09.003|10.1016/j.tips.2005.05.002|10.1016/j.tips.2007.06.001|10.1016/j.ygeno.2004.11.010|10.1016/s1471-4892(02)00028-0|10.1038/nrd2518|10.1073/pnas.0906522106|10.1073/pnas.151105198|10.1073/pnas.181356198|10.1086/424887|10.1124/jpet.105.084459|10.1124/mol.104.007427|10.1124/mol.60.6.1181|10.1177/1087057106289891,NULL,Q96RJ0,NULL
624126,1,"Fluorescence-based cell-based primary high throughput screening assay to identify positive allosteric modulators (PAMs) of the human cholinergic receptor, muscarinic 4 (CHRM4)","Source (MLPCN Center Name): The Scripps Research Institute Molecular Screening Center (SRIMSC)_|_Affiliation: The Scripps Research Institute, TSRI_|_Assay Provider: Colleen Niswender, Vanderbilt University School of Medicine_|_Network: Molecular Library Probe Production Centers Network (MLPCN)_|_Grant Proposal Number: MH077606-01_|_Grant Proposal PI: Colleen Niswender, Vanderbilt University School of Medicine_|_External Assay ID: CHRM4_PAM_FLUO8_1536_1X%ACT PRUN_|__|_Name: Fluorescence-based cell-based prim",5,The Scripps Research Institute Molecular Screening Center,CHRM4_PAM_FLUO8_1536_1X%ACT PRUN,20120509,"6,19,40,72,86,109,119,127,137,174,185,190,191,204,229,243,253,255,289,298,299,303,311,314,323,335,338,366,379,441,460,464,487,499,525,546,547,564,588,596,597,637,660,698,701,727,745,774,802,803,864,892,896,899,903,904,931,932,936,938,942,949,957,978,992,995,1001,1002,1017,1018,1030,1046,1047,1066,1088,1101,1123,1150,1174,1176,1183,1201,1233,1245,1292,1302,1309,1318,1326,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1480,1483,1486,1489,1491,1492,1493,1535,1539,1546,1570,1609,1639,1643,1646,1651,1676","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,842202,842203,842204,8",1132,Cell-based,NP_000732,NIH Initiatives,"18481916,19201489,2188581,2385234,3037705,3272174,3443095,7504306,7751967,9109749",0,10.1001/archneur.1997.00550160091022|10.1016/0163-7258(93)90027-b|10.1016/0896-6273(88)90190-0|10.1016/j.tips.2008.12.002|10.1126/science.3037705|10.1146/annurev.pa.30.040190.003221,NULL,P08173,NULL
624040,1,"Fluorescence-based cell-based primary high throughput screening assay to identify antagonists of the human cholinergic receptor, muscarinic 5 (CHRM5)","Source (MLPCN Center Name): The Scripps Research Institute Molecular Screening Center (SRIMSC)_|_Affiliation: The Scripps Research Institute, TSRI_|_Assay Provider: P. Jeffrey Conn, Vanderbilt University School of Medicine_|_Network: Molecular Library Probe Production Centers Network (MLPCN)_|_Grant Proposal Number: MH077606-01_|_Grant Proposal PI: P. Jeffrey Conn, Vanderbilt University School of Medicine_|_External Assay ID: CHRM5_ANT_FLUO8_1536_1X%INH PRUN_|__|_Name: Fluorescence-based cell-based primary ",5,The Scripps Research Institute Molecular Screening Center,CHRM5_ANT_FLUO8_1536_1X%INH PRUN,20120509,"6,19,40,72,86,109,119,127,137,174,185,190,191,204,229,243,253,255,289,298,299,303,311,314,323,335,338,366,379,441,460,464,487,499,525,546,547,564,588,596,597,637,660,698,701,727,745,774,802,803,864,892,896,899,903,904,931,932,936,938,942,949,957,978,992,995,1001,1002,1017,1018,1030,1046,1047,1066,1088,1101,1123,1150,1174,1176,1183,1201,1233,1245,1292,1302,1309,1318,1326,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1480,1483,1486,1489,1491,1492,1493,1535,1539,1546,1570,1609,1639,1643,1646,1651,1676","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,842202,842203,842204,8",1133,Cell-based,NP_036257,NIH Initiatives,"18481916,19201489,2188581,2385234,3037705,3272174,3443095,7504306,7751967,9109749",0,10.1001/archneur.1997.00550160091022|10.1016/0163-7258(93)90027-b|10.1016/0896-6273(88)90190-0|10.1016/j.tips.2008.12.002|10.1126/science.3037705|10.1146/annurev.pa.30.040190.003221,NULL,P08912,NULL
624125,1,"Fluorescence-based cell-based primary high throughput screening assay to identify antagonists of the human cholinergic receptor, muscarinic 4 (CHRM4)","Source (MLPCN Center Name): The Scripps Research Institute Molecular Screening Center (SRIMSC)_|_Affiliation: The Scripps Research Institute, TSRI_|_Assay Provider: Colleen Niswender, Vanderbilt University School of Medicine_|_Network: Molecular Library Probe Production Centers Network (MLPCN)_|_Grant Proposal Number: MH077606-01_|_Grant Proposal PI: Colleen Niswender, Vanderbilt University School of Medicine_|_External Assay ID: CHRM4_ANT_FLUO8_1536_1X%INH PRUN_|__|_Name: Fluorescence-based cell-based prim",5,The Scripps Research Institute Molecular Screening Center,CHRM4_ANT_FLUO8_1536_1X%INH PRUN,20130911,"6,19,40,72,86,109,119,127,137,174,185,190,191,204,229,243,253,255,289,298,299,303,311,314,323,335,338,366,379,441,460,464,487,499,525,546,547,564,588,596,597,637,660,698,701,727,745,774,802,803,864,892,896,899,903,904,931,932,936,938,942,949,957,978,992,995,1001,1002,1017,1018,1030,1046,1047,1066,1088,1101,1123,1150,1174,1176,1183,1201,1233,1245,1292,1302,1309,1318,1326,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1480,1483,1486,1489,1491,1492,1493,1535,1539,1546,1570,1609,1639,1643,1646,1651,1676","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,842202,842203,842204,8",1132,Cell-based,NP_000732,NIH Initiatives,"18481916,19201489,2188581,2385234,3037705,3272174,3443095,7504306,7751967,9109749",0,10.1001/archneur.1997.00550160091022|10.1016/0163-7258(93)90027-b|10.1016/0896-6273(88)90190-0|10.1016/j.tips.2008.12.002|10.1126/science.3037705|10.1146/annurev.pa.30.040190.003221,NULL,P08173,NULL
624038,1,"Fluorescence-based cell-based primary high throughput screening assay to identify positive allosteric modulators (PAMs) of the human cholinergic receptor, muscarinic 5 (CHRM5)","Source (MLPCN Center Name): The Scripps Research Institute Molecular Screening Center (SRIMSC)_|_Affiliation: The Scripps Research Institute, TSRI_|_Assay Provider: P. Jeffrey Conn, Vanderbilt University School of Medicine_|_Network: Molecular Library Probe Production Centers Network (MLPCN)_|_Grant Proposal Number: MH077606-01_|_Grant Proposal PI: P. Jeffrey Conn, Vanderbilt University School of Medicine_|_External Assay ID: CHRM5_PAM_FLUO8_1536_1X%ACT PRUN_|__|_Name: Fluorescence-based cell-based primary ",5,The Scripps Research Institute Molecular Screening Center,CHRM5_PAM_FLUO8_1536_1X%ACT PRUN,20120509,"6,19,40,72,86,109,119,127,137,174,185,190,191,204,229,243,253,255,289,298,299,303,311,314,323,335,338,366,379,441,460,464,487,499,525,546,547,564,588,596,597,637,660,698,701,727,745,774,802,803,864,892,896,899,903,904,931,932,936,938,942,949,957,978,992,995,1001,1002,1017,1018,1030,1046,1047,1066,1088,1101,1123,1150,1174,1176,1183,1201,1233,1245,1292,1302,1309,1318,1326,1329,1330,1340,1345,1359,1365,1367,1369,1400,1401,1474,1480,1483,1486,1489,1491,1492,1493,1535,1539,1546,1570,1609,1639,1643,1646,1651,1676","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842133,842134,842136,842137,842138,842139,842140,842141,842142,842143,842145,842146,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842178,842179,842180,842181,842182,842183,842184,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842200,842201,842202,842203,842204,8",1133,Cell-based,NP_036257,NIH Initiatives,"18481916,19201489,2188581,2385234,3037705,3272174,3443095,7504306,7751967,9109749",0,10.1001/archneur.1997.00550160091022|10.1016/0163-7258(93)90027-b|10.1016/0896-6273(88)90190-0|10.1016/j.tips.2008.12.002|10.1126/science.3037705|10.1146/annurev.pa.30.040190.003221,NULL,P08912,NULL
